"","Company","Hires","TotalHires","Size","Founded","Age"
"1","Apple",43328,77192,"big",1976,"Old"
"2","Intel",26921,54135,"big",1968,"Old"
"3","HPE",37771,51989,"big",1939,"Old"
"4","Google",26587,46760,"big",1998,"Maturing"
"5","Cisco",20344,37526,"big",1984,"Maturing"
"6","Salesforce",9795,14716,"big",1999,"Maturing"
"7","HP Inc.",10066,13613,"big",1939,"Old"
"8","Facebook",5819,11241,"big",2004,"New"
"9","Adobe",4753,7162,"medium",1982,"Maturing"
"10","LinkedIn",3561,6655,"medium",2002,"New"
"11","eBay",3486,6611,"medium",1995,"Maturing"
"12","Intuit",3204,5911,"medium",1983,"Maturing"
"13","Uber",3135,5885,"medium",2009,"New"
"14","Nvidia",2294,5348,"medium",1993,"Maturing"
"15","Twitter",1730,2952,"medium",2006,"New"
"16","Airbnb",1085,1917,"small",2008,"New"
"17","Square",1030,1711,"small",2009,"New"
"18","Lyft",918,1433,"small",2012,"New"
"19","Pinterest",474,944,"small",2009,"New"
"20","MobileIron",265,506,"small",2007,"New"
"21","View",260,460,"small",2007,"New"
"22","23andMe",186,297,"small",2006,"New"
